,index,Country/Region,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_case,Recovered_Rate,Death_Rate
119,119,Nepal,48,13754,4950,139.0,3.0,626,0.26,73.35,0.35,17844,908,5.09,18752,73.34684300341297,0.25597269624573377
120,120,Netherlands,6160,189,47064,419.0,1.0,0,11.53,0.35,3259.26,52132,1281,2.46,53413,0.35384644187744557,11.532772920450078
121,121,New Zealand,22,1514,21,,,1,1.41,97.24,1.45,1555,2,0.13,1557,97.23827874116891,1.4129736673089275
122,122,Nicaragua,108,2492,839,0.0,0.0,0,3.14,72.46,4.33,3147,292,9.28,3439,72.46292526897355,3.1404478045943587
123,123,Niger,69,1027,36,0.0,0.0,0,6.1,90.72,6.72,1105,27,2.44,1132,90.7243816254417,6.095406360424029
124,124,Nigeria,860,18203,22117,648.0,2.0,829,2.09,44.2,4.72,37225,3955,10.62,41180,44.20349684312773,2.0883924235065567
125,125,North Macedonia,466,5564,4183,127.0,6.0,137,4.56,54.48,8.38,9249,964,10.42,10213,54.47958484284735,4.562812102222658
126,126,Norway,255,8752,125,15.0,0.0,0,2.79,95.84,2.91,9034,98,1.08,9132,95.83880858519493,2.7923784494086727
127,127,Oman,393,57028,19637,1053.0,9.0,1729,0.51,74.01,0.69,68400,8658,12.66,77058,74.00659243686573,0.5100054504399283
128,128,Pakistan,5842,241026,27421,1176.0,20.0,3592,2.13,87.87,2.42,266096,8193,3.08,274289,87.87300985456945,2.1298703192618005
129,129,Panama,1322,35086,25034,1146.0,28.0,955,2.15,57.1,3.77,54426,7016,12.89,61442,57.10426092900621,2.1516226685329256
130,130,Papua New Guinea,0,11,51,0.0,0.0,0,0.0,17.74,0.0,19,43,226.32,62,17.741935483870968,0.0
131,131,Paraguay,43,2905,1600,104.0,2.0,111,0.95,63.87,1.48,3748,800,21.34,4548,63.87423043095867,0.9454705364995603
132,132,Peru,18418,272547,98752,13756.0,575.0,4697,4.73,69.93,6.76,357681,32036,8.96,389717,69.93459356404776,4.725993477318156
